system,area
Cs2Sc1Au1F6,0.2401
K1Ge1I3,8.1147
K2Mn1Ag1F6,0.8393
Cs2Ta1Ag1I6,2.4389
Rb2Hg1Au1F6,2.2723
Cs2K1Al1Br6,0.0328
Rb2Tl1Au1I6,3.2189
Rb2Ti1Tl1F6,0.1063
Na2Cu1As1F6,4.3873
Cs1Ca1Br3,0.0294
K2Na1Sc1Br6,0.1359
Rb2Tl1Cu1Cl6,2.0057
K2Ga1Ag1Br6,2.0556
Na2Fe1Hg1F6,2.6813
K2Y1Au1Cl6,0.6861
Cs2Rb1Nb1F6,0.3449
Cs2Li1Y1F6,0.0078
K2Cu1As1F6,4.8161
Rb2Ag1Bi1Br6,3.8956
Na2Cr1Hg1F6,2.2366
Cs1Rb2Ga1I6,0.7794
K2Al1Au1Cl6,0.6751
Cs2K1V1F6,0.016
Cs2Sb1Au1Cl6,5.4927
Rb2Li1Ta1Cl6,0.2242
K2Tl1As1F6,0.5959
Cs2Y1Hg1Br6,0.6613
Rb2Li1V1Cl6,0.3423
Cs2Bi1Au1Br6,6.9232
Rb2Pr1Cu1I6,1.3337
Rb2Tm1Cu1Cl6,0.2619
Na2Sc1Ag1F6,0.1053
Cs2K1As1I6,2.1294
Cs2Ce1Cu1I6,1.3704
Na2Cu1Au1F6,0.7628
Cs1Ge1Br3,5.2908
Na2Cu1Au1Cl6,1.3151
Rb2Sc1Au1Cl6,1.0663
K2Tl1Fe1F6,0.5591
Cs2Al1Ag1Cl6,0.1612
Cs2Tl1Bi1F6,0.2622
K2Ta1Cu1I6,3.1828
Cs2Ga1Hg1Cl6,0.9944
K2Tl1Au1Br6,2.4314
K1Cu1F3,0.5254
Cs2Ce1Ag1Cl6,0.2552
Na2Li1As1F6,0.0288
K2Ga1Ag1Cl6,1.1615
Rb2Cu1Mo1Cl6,2.5106
Na2Rh1Au1F6,5.9807
Cs2V1Ag1F6,0.0722
Cs2Hg1As1Br6,4.1385
Cs2Na1Ta1Br6,0.2908
K2Al1Ag1Cl6,0.1065
K2Sc1Hg1F6,0.0661
Cs2Tl1Ga1I6,2.0753
K2Tl1Sb1F6,0.8766
Rb2Y1Cu1Br6,0.6231
K2Na1Mo1Br6,0.3376
Cs2K1Sb1Br6,0.5964
K2Ga1Hg1I6,2.9153
Rb2Li1V1F6,0.0274
K1Rb2In1I6,0.7016
Cs2Tl1Sb1Br6,3.9566
K2Tl1Ir1F6,0.2281
Rb2Tl1Cu1Br6,1.7035
Cs2Al1Au1Cl6,0.7557
Rb1Pb1Br3,2.0529
Rb2Ag1As1F6,0.6745
Rb2Y1Ag1Br6,0.0776
Rb2Ta1Tl1F6,1.312
K2Fe1Hg1F6,2.8685
Cs2K1Al1I6,0.3935
Cs1K2Al1Br6,0.0342
Cs2K1Cu1F6,0.6292
Cs2Sc1Ag1F6,0.014
Cs2Tl1Ag1Br6,2.418
Cs2K1In1I6,0.6979
Cs2Rb1Tl1Br6,0.9493
Rb1Mn1F3,0.017
Cs2Ag1Au1Br6,2.3464
K2In1Hg1F6,1.2336
Cs2Tl1Au1I6,3.1877
Cs2Tl1Pd1F6,2.9209
Cs2Na1Sc1I6,1.6786
Rb2Na1Sb1Cl6,0.1918
Rb1Sn1Br3,4.3851
K2Ti1Tl1F6,0.13
Cs2Cu1Sb1Br6,6.4192
Cs2Rb1Y1Br6,0.0339
Cs2Li1Sc1F6,0.0087
K2Na1Mo1Cl6,0.079
K2Cu1Au1Cl6,1.3807
K2Hg1Au1F6,2.2849
Na2Al1Hg1Cl6,0.8295
Cs2Rb1Bi1Cl6,0.0489
K1Rb2Nb1F6,0.1013
Cs2In1Au1I6,3.6545
Rb2Sb1Au1Br6,6.6905
Cs1Pd1Br3,1.9807
Rb2Y1Ag1Cl6,0.036
Cs2Hg1Sb1Br6,3.5586
Rb2Na1Ta1Cl6,0.2052
K2Mn1Hg1F6,0.5877
K2Rb1As1I6,2.0732
Cs2Bi1Au1Cl6,5.2293
K2Li1As1F6,0.0271
Cs2Pr1Ag1I6,0.7984
Cs2Rb1In1I6,0.7003
Rb2Ir1Au1F6,2.0847
Cs2Sc1Au1Br6,1.5589
Cs2In1Hg1Cl6,0.8438
Cs2K1Ce1F6,0.1535
Cs2Li1Au1F6,0.6949
Cs2Y1Cu1Cl6,0.3264
