system,band_gap
Cs2ScAuI6,1.0839
K2NaInCl6,3.2151
Rb2TlAgF6,0.5523
RbPbI3,1.459
CsSrI2.25Br0.75,3.603
K2LiCrF6,4.1644
Cs2LiTmCl6,5.2527
Na2RhAuF6,0.7408
K2AlHgF6,0
Cs2MnNaCl6,0.272
Cs2KYBr6,4.2852
Rb2GaAgF6,2.4254
Cs2RbScBr6,3.2725
Na2FeHgF6,0
Rb2NaMoF6,4.1434
RbPbCl3,2.182
Cs2AlHgF6,0
Rb2CoHgF6,0
Na2InAgF6,1.0817
Rb2NaInCl6,3.0533
Rb2AlAuF6,1.4095
Cs2LiErCl6,5.1941
Rb2HgAsBr6,0
K2RbAlI6,1.9161
Rb2YAgBr6,3.3104
Rb2LiBiBr6,2.9149
K2TmAgCl6,3.6439
Rb2NaMnF6,0
Na2IrAuF6,0.3562
Na2LiSbF6,3.6063
K2RbInF6,5.1078
Cs2HgMnCl6,0.092
Rb2HgSbI6,0
Cs2NaAuCl6,0
K2LiNbF6,0
Cs2RbAlI6,1.8835
K2TiHgF6,2.1789
K2LiPdF6,0
Rb2AgMoF6,2.6738
Cs2RbInF6,5.3728
K2GaCuF6,0.2188
Cs2RbYI6,3.3296
KRb2AsCl6,3.4879
Na2LuCuCl6,1.7902
Na2HgAsI6,0
K2RbIrF6,2.2706
K0.375Cs0.625SrI3,3.389
Cs2YAgBr6,3.335
K2TlHgI6,0
Na2LiYBr6,3.1247
Rb2LiErCl6,5.2115
Cs2KTlBr6,1.3749
Rb2ScAuCl6,2.0443
K2AlAuCl6,0.86
Rb2HgAuF6,0
Cs2NaRuF6,0
KRb2ScCl6,4.0163
CsBaCl3,4.667
Rb2NaNdI6,3.1233
K2NaNdBr6,4.0009
Rb2ScCuCl6,1.8951
Na2LiSbCl6,2.9225
Cs2AlAuF6,1.5293
Cs2NaTbCl6,5.2046
Cs2KLuCl6,5.2423
Na2GaHgF6,0
K2NaBiCl6,3.7886
Rb2TmCuCl6,2.4353
Cs2BiAuI6,0
RbSnBr1.125Cl1.875,0.707
K2TlHgBr6,0
Cs2NaMoBr6,1.4443
K2NaBiBr6,3.1276
Na2LiAsF6,4.3114
KGeBr3,0.618
RbCaBr3,4.082
Cs2KTiF6,0
Cs2InAgI6,0
Rb2TlAuF6,0
Cs2AgAsBr6,1.1161
Cs2KBiI6,2.6566
Cs2NaInF6,5.3079
Rb2NaPrCl6,4.9807
KRb2SmCl6,4.796
Cs2NaNdCl6,4.9943
Rb2InCuBr6,0
Cs2DyAgCl6,3.8171
CsRb2AuCl6,0.1722
Cs2RbLuCl6,5.0606
K2NaErCl6,4.9656
Cs2MnHgF6,0.3874
